Time,Open,High,Low,Close,Buffer0,Buffer1,Buffer2,Buffer3,Buffer4,Buffer5,Buffer6,Buffer7
2026.06.04 08:30,4473.26,4475.82,4466.82,4469.17,,,,,,,,
2026.06.04 08:00,4481.06,4482.41,4470.93,4473.26,,,,,,,,
2026.06.04 07:30,4474.57,4484.05,4474.55,4480.98,,,,,,,,
2026.06.04 07:00,4463.85,4476.27,4462.40,4474.66,,,,,,,,
2026.06.04 06:30,4469.23,4470.85,4458.33,4463.82,,,,,,,,
2026.06.04 06:00,4474.73,4477.18,4466.00,4469.38,,,,,,,,
2026.06.04 05:30,4460.63,4476.58,4457.85,4474.98,,,,,,,,
2026.06.04 05:00,4465.63,4467.24,4455.57,4460.66,,,,,,,,
2026.06.04 04:30,4465.99,4470.18,4456.86,4465.75,,,,,,,,
2026.06.04 04:00,4448.39,4473.60,4443.14,4466.01,,,,,,,,
2026.06.04 03:30,4450.68,4453.00,4444.07,4448.40,,,,,,,,
2026.06.04 03:00,4457.45,4465.32,4447.65,4450.67,,,,,,,,
2026.06.04 02:30,4450.78,4464.71,4446.12,4457.22,,,,,,,,
2026.06.04 02:00,4449.03,4451.64,4445.27,4450.77,,,,,,,,
2026.06.04 01:30,4433.96,4452.56,4433.90,4449.05,,,,,,,,
2026.06.04 01:00,4441.34,4441.39,4423.16,4433.98,,,,,,,,
2026.06.03 23:30,4439.02,4439.54,4430.42,4434.58,,,,,,,,
2026.06.03 23:00,4443.91,4445.36,4437.37,4439.02,,,,,,,,
2026.06.03 22:30,4447.93,4449.70,4443.01,4443.90,,,,,,,,
2026.06.03 22:00,4442.00,4452.20,4441.32,4447.96,,,,,,,,
2026.06.03 21:30,4440.00,4442.86,4436.89,4442.01,,,,,,,,
2026.06.03 21:00,4438.52,4440.55,4435.17,4440.15,,,,,,,,
2026.06.03 20:30,4439.07,4441.99,4435.42,4438.53,,,,,,,,
2026.06.03 20:00,4441.89,4448.70,4437.85,4439.18,,,,,,,,
